"","log2FC","p","condition","metab"
"gamma-glutamylmethionine1",-4.30940744340716,0.013,"untreated_5-0","gamma-glutamylmethionine"
"gamma-glutamylphenylalanine1",3.17258534968406,0.000976,"untreated_5-0","gamma-glutamylphenylalanine"
"gamma-glutamyltryptophan1",1.76289763703423,0.031,"untreated_5-0","gamma-glutamyltryptophan"
"gamma-glutamyltyrosine1",1.93847884812952,0.000133,"untreated_5-0","gamma-glutamyltyrosine"
"glucose1",-0.266565992452274,0.003,"untreated_5-0","glucose"
"glutamate1",5.43334082581956,0.024,"untreated_5-0","glutamate"
"glutamine1",3.62721455401073,0.00016,"untreated_5-0","glutamine"
"glutaminylleucine1",4.15364182480726,0.000572,"untreated_5-0","glutaminylleucine"
"glycerophosphoethanolamine1",1.33688135659767,0.461,"untreated_5-0","glycerophosphoethanolamine"
"glycine1",-2.09779648287187,1.53e-06,"untreated_5-0","glycine"
"glycylisoleucine1",3.9312773002364,3.12e-05,"untreated_5-0","glycylisoleucine"
"glycylleucine1",2.74673681701703,0.000127,"untreated_5-0","glycylleucine"
"glycylvaline1",1.34587432212321,0.000132,"untreated_5-0","glycylvaline"
"guanosine-2',3'-cyclic monophosphate1",-0.0937570181077595,0.002,"untreated_5-0","guanosine-2',3'-cyclic monophosphate"
"guanosine 2'-monophosphate (2'-GMP)*1",-0.82648347048036,0.004,"untreated_5-0","guanosine 2'-monophosphate (2'-GMP)*"
"guanosine 3'-monophosphate (3'-GMP)1",-2.81427900232082,0.07,"untreated_5-0","guanosine 3'-monophosphate (3'-GMP)"
"gulonate*1",0.791595692305813,2.22e-07,"untreated_5-0","gulonate*"
"hippurate1",0.0791094679446328,1.75e-05,"untreated_5-0","hippurate"
"histamine1",-0.498755810672649,0.023,"untreated_5-0","histamine"
"histidine1",-0.0936854888360641,0.035,"untreated_5-0","histidine"
"histidinol1",-1.96829000422782,0.043,"untreated_5-0","histidinol"
"histidylalanine1",4.71361613090442,9.86e-05,"untreated_5-0","histidylalanine"
"homoserine1",0.616557907143631,1.44e-05,"untreated_5-0","homoserine"
"indoleacetate1",-2.4722941545013,0.007,"untreated_5-0","indoleacetate"
"isoleucine1",-2.95102118985133,5.75e-05,"untreated_5-0","isoleucine"
"isoleucylglycine1",2.20472812268944,0.000273,"untreated_5-0","isoleucylglycine"
"isovalerate (i5:0)1",-3.85982929900591,1.48e-05,"untreated_5-0","isovalerate (i5:0)"
"kynurenate1",-0.394689100324231,0.012,"untreated_5-0","kynurenate"
"leucine1",-3.19951739726167,6.47e-06,"untreated_5-0","leucine"
"leucylglycine1",1.15349286954123,0.031,"untreated_5-0","leucylglycine"
"lysine1",-0.84840108229491,0.001,"untreated_5-0","lysine"
"lysylleucine1",2.67921894138689,0.082,"untreated_5-0","lysylleucine"
"malate1",-1.71127898526021,0.041,"untreated_5-0","malate"
"maleate1",-2.19841132863096,0.098,"untreated_5-0","maleate"
"methionine1",-0.314799281632221,0.006,"untreated_5-0","methionine"
"methylmalonate (MMA)1",-2.70085190457823,0.000982,"untreated_5-0","methylmalonate (MMA)"
"methylsuccinate1",-0.341809050892712,0.029,"untreated_5-0","methylsuccinate"
"mevalonate1",-2.64737873292391,0.006,"untreated_5-0","mevalonate"
"N-acetyl-cadaverine1",1.31860606440235,0.008,"untreated_5-0","N-acetyl-cadaverine"
"N-acetylalanine1",0.458415904863876,0.008,"untreated_5-0","N-acetylalanine"
"N-acetylarginine1",-0.659647731778171,0.029,"untreated_5-0","N-acetylarginine"
